sentence	subj_idx	verb_idx	verb_pos	verb	inflected_verb
the sri NNP NN is the country 's top NN .	3	4	VBZ	is	are
the NN bears up to 7 flower heads which are each VBN in four or five RB NNS .	1	2	VBZ	bears	bear
this book has the same status in NNP literature as that of one hundred years of NNP in hispanic literature .	1	2	VBZ	has	have
murphy 's NNS are all the more remarkable as he was deaf .	2	3	VBP	are	is
when the letter `` z '' is encountered , a NN causes a blank space to appear in the message , thus VBG the original message with spaces .	2	11	VBZ	causes	cause
this JJ agreement appears to be in effect .	2	3	VBZ	appears	appear
a center track begins at a NN block near the tunnel portal and NNS with the two express tracks of the eastern parkway line south of NNP avenue .	2	3	VBZ	begins	begin
NNP , this discussion is only about templates , not categories !	3	4	VBZ	is	are
it shows NNP and NNP working out of a small office and holding group meetings in people 's homes , as group meetings are a core element of the NNP bank peer NN model .	22	23	VBP	are	is
as a scholarly treatment of a reformation in technical communication , the text is a contribution to the history of science .	12	13	VBZ	is	are
historic records mention the assistance and entertainment offered by him and his tribe towards the NNP and later colonists .	1	2	VBP	mention	mentions
the NNP NNP plant is the first of its kind in russia .	3	4	VBZ	is	are
the mark of a moderate man is freedom from his own ideas .	1	6	VBZ	is	are
the course uses clinical cases to VB the teaching and evaluation of clinical skills with the basic science concepts in each of the blocks , and VBZ the william NNP NNP institute for clinical simulation and patient safety to aid learning through interactive clinical NNS .	1	2	VBZ	uses	use
the play takes the form of a dialogue between NNP NNP and NNP , who is VBG him about his background on the orders of NNP .	1	2	VBZ	takes	take
the corridor derives its name from the front range , the mountain range that defines the west central boundary of the corridor .	1	2	VBZ	derives	derive
direct quotes , statistics and facts need to be cited .	1	6	VBP	need	needs
his NNP comics NNS include the JJ the complete NNP library , the JJ NNP NNS , and the JJ NN NNP archives .	3	4	VBP	include	includes
the history of NNP begins with the formation of the association for promoting the higher education of women in cambridge , in 1869 .	1	4	VBZ	begins	begin
the resort has 22 rooms and the buildings are low and made traditionally with JJ NNS .	1	2	VBZ	has	have
the legal definition of land area ( us ) VBZ slope .	2	9	VBZ	ignores	ignore
these entities are often NNS between banks or corporate NNS and investors and are called the shadow banking system .	1	2	VBP	are	is
the fruit then grows to full size inside the bottle .	1	3	VBZ	grows	grow
the national basketball association ( nba ) NN plan VBZ if five or more players on a team `` CD or are VBN ' '' .	8	9	VBZ	activates	activate
the bride always wears a JJ JJ wedding NN .	1	3	VBZ	wears	wear
thus certain authors argue that any histories that do not focus on spectacular events are now deemed VBG to younger readers .	2	3	VBP	argue	argues
NNP 's witnesses use kingdom halls for the majority of their worship and bible instruction .	2	3	VBP	use	uses
currently , the rest of NNP is still under construction .	3	6	VBZ	is	are
another unique stop is the NNP NNP .	2	3	VBZ	is	are
methods employed in cognitive NN include experimental NN from NNS and cognitive psychology , functional NN , NN , cognitive NNS and behavioral NNS .	0	5	VBP	include	includes
the selection of persons is to be made by the branch office of the ss race and settlement main office ( NNP ) in NNP ( NNP ) .	1	4	VBZ	is	are
the JJ character is a result of the NN of NN .	2	3	VBZ	is	are
at the end , the left hand line joins the main circuit , but the right hand one stops short of the current NN .	7	8	VBZ	joins	join
l NNS are canon 's JJ NNS .	1	2	VBP	are	is
NNP 's editor is george peterson , former editor of mix magazine NNP communications , corp was founded by NNP president terry NNP in 1999 .	2	3	VBZ	is	are
NNS are responsible for colour perception .	0	1	VBP	are	is
the company provides a comprehensive website where current listings of programming , VBZ from the various shows and other programming information can be found .	1	2	VBZ	provides	provide
NNP NNP NNP 's incomplete theory `` an RB simple theory of everything '' attempts to describe all known fundamental interactions in physics as part of the NNP lie algebra .	5	14	VBZ	attempts	attempt
the rules of botanical naming state that the spelling used in the formal scientific description has to be retained for the scientific name .	8	15	VBZ	has	have
next to the NNP , second largest building of the terrace and the final NNS , is the throne hall or the imperial army 's hall of honour ( also called the `` NNP palace ) .	7	16	VBZ	is	are
the rule is that whenever the is disagreement , even between later editors , the original style should remain unless there is strong consensus for a change on the individual article .	1	2	VBZ	is	are
the name comes from the welsh saint NNP .	1	2	VBZ	comes	come
the alpha NNP system has a total of 12 planets , among them NNP in orbit around alpha NNP a and newton in orbit around alpha NNP b .	3	4	VBZ	has	have
the game allows for characters to be created with one of eight classes and offered the ability to choose the sex of each character .	1	2	VBZ	allows	allow
NNS may be held in jail for months , even as much as two years , before being brought before an immigration board , at which NNS need to pay for their own legal representation .	26	27	VBP	need	needs
i did it for NNP NNP , and the results appear to have been favorable .	9	10	VBP	appear	appears
NNS which have been around , and which are in current widespread use , include JJ NN , NN , NN NN , NN , NNS , NNS , NNS , NN , and NNS , and JJ NNS .	0	14	VBP	include	includes
regulations require use of an integrated antenna .	0	1	VBP	require	requires
in most JJ examples the NNS are the part that VBZ out most .	5	6	VBP	are	is
the poll is broken down into categories by , basically , levels of notability , and that the more obscure categories have a clear majority for deletion .	20	21	VBP	have	has
this article refers to a legal NN of sri lanka , now deceased .	1	2	VBZ	refers	refer
iranian agencies know this book as a valuable work for students and researchers in the fields of political science and history and also a guide for decision makers and NNS of foreign policy .	1	2	VBP	know	knows
now , most websites seem to recommend doing it more than that , but they mention doing it specifically to increase things like muscle development , NN , etc .	3	4	VBP	seem	seems
so these brothers RB work together too .	2	4	VBP	work	works
today the women 's teams also use the nickname warriors .	4	6	VBP	use	uses
JJ adaptation ( from the greek word auto ) is a form of adaptation where the subject attempts to change itself when faced with a difficult situation .	16	17	VBZ	attempts	attempt
c - stops at NNP then express to NNP , then all stops to NNP .	2	6	VBP	express	expresses
to my thinking , this is a keep though the article needs to be expanded .	10	11	VBZ	needs	need
most uninvolved users believe that tree NN is reasonably neutral and JJ over NNP .	2	3	VBP	believe	believes
at present , the total floor area of the library is 56 , 700 NN ft .	6	10	VBZ	is	are
no one in the usa wants their stores , which is why the chain is being sold off .	1	5	VBZ	wants	want
when he met NNP washington , the director and also an actor in the great NNP , in a follow-up NN audition , NNP says `` it was one of those moments .	11	24	VBZ	says	say
NNP stated that artificial intelligence has the capability to bring about human extinction , which is of course not what society VBZ for artificial intelligence to do .	20	21	VBZ	intends	intend
the son of singer jeff NNP discovers that his father was a drug NN by reading wikipedia .	1	6	VBZ	discovers	discover
classic examples of JJ problems include economic , environmental , and political issues .	1	5	VBP	include	includes
i agree the article is problematic and needs work .	3	4	VBZ	is	are
the major factor that keeps the image of this elephant in the minds of elephant lovers is its wide ears .	2	16	VBZ	is	are
things get even worse when NNP cuts the NNP program from the state 's budget , a move that VBZ NNP .	0	1	VBP	get	gets
NNP 's ethics and language , written after ross 's book but before NNP 's and NNP 's , states that JJ terms are `` not always used for purposes of NN .	22	23	VBP	are	is
the town of bruce mines has a population of CD residents .	1	5	VBZ	has	have
published credits of gray include NNP , NNP , NNP , and NNP .	1	4	VBP	include	includes
the articles on him are RB of very good standards .	1	4	VBP	are	is
no published albums ( JJ one is due in april ] ] .	5	6	VBZ	is	are
the JJ effect states that a person is more likely to believe a familiar statement than an JJ one .	6	7	VBZ	is	are
some distributed data stores ( such as NNP over NNP ) use forward error NN techniques to recover the original file when parts of that file are damaged or JJ .	22	26	VBP	are	is
the central galaxy in the cluster contains vast amounts of hot gas .	2	6	VBZ	contains	contain
the discussion here is somewhat more general ; regarding classified material by any government .	1	3	VBZ	is	are
apparently every season of america 's top model is notable .	2	8	VBZ	is	are
at the mere ( lines JJ ) when NNP 's mother attacks the hall , the NNPS and NNP pursue her to the mere where she lives .	10	11	VBZ	attacks	attack
the port also sees various cruise ship calls bringing visitors to the dorset area .	1	3	VBZ	sees	see
the NN point for me is that NNS have one operator , but any admin can unblock .	2	5	VBZ	is	are
our xbox 360 article is not explicit about this .	3	4	VBZ	is	are
as of june 2013 , the most recent NN smoking ban is north dakota 's , which was VBN by voters on november 6 , 2012 .	10	11	VBZ	is	are
current article needs considerable work , though .	1	2	VBZ	needs	need
while these teaching NNS are effective , virtual reality simulation seems to have VBN the gap between them .	9	10	VBZ	seems	seem
the purpose of the NNP is to score bonus points .	1	5	VBZ	is	are
NNP '' means formed as a ring and `` JJ '' formed as an incomplete ring ; both terms have a range of uses .	18	19	VBP	have	has
visitors are officially invited to use public transport , but RB arrive by private car , encouraged by the provision of parking spaces .	0	1	VBP	are	is
many scientists agree that if global warming continues , this disruption is likely to increase .	1	2	VBP	agree	agrees
this game is notorious for how bad it is , but that may not transfer to wikipedia notability .	1	2	VBZ	is	are
some early texts refer to VB as RB being the oldest building in ireland .	2	3	VBP	refer	refers
NNP 's three brothers are physicians , and his sister is a teacher .	9	10	VBZ	is	are
long term plans include the construction of a digital NN and the completion of the JJ science hall .	2	3	VBP	include	includes
NNP is married to fellow puerto rican fernando NNP , a nasa scientist , whose job requires the NN , design and implementation of JJ instruments used in the scientific observations of the earth and space .	15	16	VBZ	requires	require
his colors are blue and yellow and his player number is 5 .	1	2	VBP	are	is
the building itself is a frame structure on a stone foundation VBN by a NN pitched JJ roof .	1	3	VBZ	is	are
the most common view is that while god does not need prayer , humans do .	13	14	VBP	do	does
the church has several significant paintings on the walls .	1	2	VBZ	has	have
most JJ launch vehicles need to be continuously topped off as scheduled NN approaches .	3	4	VBP	need	needs
infrastructure is JJ ; there is no electricity supply , most water comes from traditional wells , and the JJ school system provides only elementary education in poorly equipped NNS .	21	22	VBZ	provides	provide
he had shown that some JJ elements have more than one atomic mass , although the chemical properties are identical , so that atoms of different masses occupy the same place in the periodic table .	6	7	VBP	have	has
i have no doubt NNP NNP is a sockpuppet , the only question is whose sockpuppet .	12	13	VBZ	is	are
this area is home to the old fire station and subject of a potential NN project .	1	2	VBZ	is	are
she pointed out that the number itself , for all VBG agencies , depends very much on the way it is calculated .	5	13	VBZ	depends	depend
content of article has changed it may be verifiable but at the time of nomination was a poorly written NN ; NNS and NN 's are not suitable for wp inclusion .	21	25	VBP	are	is
a NN index allows the reader to generally find NNS by significant words in the NNS .	2	3	VBZ	allows	allow
NNP NN is a technique used to reduce engine wear in large NNS by performing NN at less than full power .	1	2	VBZ	is	are
another editor would not see the same problems you see , and it is likely that even after several NNS , the specific elements of the article that you VBP to be VBN would still remain .	23	29	VBP	perceive	perceives
a secure scoring program is available online although hand scoring forms are also available .	3	4	VBZ	is	are
the number used in a font is a NN of two numbers .	1	6	VBZ	is	are
almost all current national team players play for clubs in the french championships .	5	6	VBP	play	plays
in falling stars , players control NNP , a young girl who lives in the peaceful land of NNP .	4	5	VBP	control	controls
the district contains JJ century NNPS , early republic architecture , and late victorian architecture .	1	2	VBZ	contains	contain
the band combines influences from traditional heavy metal bands such as iron maiden , NNP NNP and thin NNP , and english folk metal band NNP .	1	2	VBZ	combines	combine
perhaps merging to NNP seed ( if the information is not already there ) would be best .	8	9	VBZ	is	are
this author has five books out , received awards , and is a nationally syndicated columnist .	1	2	VBZ	has	have
VBN redirect is a product of a move .	1	2	VBZ	is	are
the NN of this forum is that it VBZ itself to VB knee NN voting , and is strongly JJ to discourse .	1	5	VBZ	is	are
the village is the administrative center of union council 5 of NNP NNP , the village has a population of 3 , CD .	15	16	VBZ	has	have
delete this article is completely unnecessary .	2	3	VBZ	is	are
maintenance , repair , and operations NNP operations can be VBN by whether the product remains the property of the customer , i .	14	15	VBZ	remains	remain
the term is particularly JJ when applied or JJ to people with strong ties to canada , such as those who have lived a significant portion of their lives , or were educated , in canada , and then relocated to the united states .	1	2	VBZ	is	are
NNP argues that the pa ( primary algebra ) reveals striking connections among logic , NNP algebra , and JJ , and the philosophy of language and mind .	7	9	VBZ	reveals	reveal
the hospital also provides JJ department and day hospital services for psychiatric patients in west NNP psychiatric centre , east NNP psychiatric centre and NNP psychiatric centre .	1	3	VBZ	provides	provide
the only problem is that it might be difficult to find a source like that .	2	3	VBZ	is	are
an editor is assisting the user in ensuring that no factual NNS remain .	11	12	VBP	remain	remains
these individual properties are not abstract and they do not create rules .	2	3	VBP	are	is
a leading NN in his entire body of work is the JJ NN of freedom and the triumph of NN and NN .	2	9	VBZ	is	are
and when the ceremony is over , we throw them into the street , but not because we hate them .	3	4	VBZ	is	are
in the end , the monument consists of a vermont and italian marble NN with surrounding italian marble lions , each long and VBG 12 tons .	5	6	VBZ	consists	consist
large parties VBD the cut stems , and left them to dry for days or weeks .	4	5	VBZ	stems	stem
NNS are where wikipedians come together to focus on an article or task .	0	1	VBP	are	is
raw sugar has a yellow to brown color .	1	2	VBZ	has	have
currently its editors are dr NNP NNP ( university of sheffield ) , dr NNP NNP ( university of bristol ) , dr n .	2	3	VBP	are	is
NN of order 8 , while the second JJ group is JJ group NNP .	9	10	VBZ	is	are
i do n't know how that script works .	6	7	VBZ	works	work
its head office is in sydney , australia , with other offices in the australian cities of melbourne , brisbane , adelaide and canberra , as well as in new zealand and canada .	2	3	VBZ	is	are
not at all , but in these matters wikipedia policy makes as little appeal to common sense as do the laws of particle physics .	9	10	VBZ	makes	make
this category comprises templates used by wikiproject singapore .	1	2	VBZ	comprises	comprise
looking through various versions , one has to doubt notability .	5	6	VBZ	has	have
there are tons of JJ programs on all sorts of platforms ; such programs are not JJ .	13	14	VBP	are	is
his results are more likely to be quoted than VBN .	1	2	VBP	are	is
the album features production from dr .	1	2	VBZ	features	feature
in NNP 's words , `` the NN is that maximum NN VBZ political dominance .	7	8	VBZ	is	are
the assessment measures 24 NN services VBG that only four have shown improvement over the last 50 years , 15 are in serious decline , and five are in a JJ condition .	1	2	VBZ	measures	measure
NNS detect the position and NN of the steering column , and a computer module applies VBP JJ via the motor , which connects to either the steering gear or steering column .	0	1	VBP	detect	detects
participation is completely voluntary up until the moment a community consensus discussion VBZ with an accept decision .	11	12	VBZ	closes	close
my hope is that the JJ NNS could play a larger role in the cleanup process , if they can become aware of articles in need of attention ( which is currently not that easy ) .	1	2	VBZ	is	are
although the book is fictional , it is based on the early life experiences of the NN , joyce meyer , who was VBN by her parents when she was a child .	2	3	VBZ	is	are
one web site makes the JJ claim , based solely upon a picture , that NNP anderson is going into competition with NNP .	2	3	VBZ	makes	make
his weapon is a NN NN , taken from the NN that bit off his hand .	1	2	VBZ	is	are
the few people in this category - and the many potentially in it - have little in common , so there is little value in them being grouped together .	2	14	VBP	have	has
his work spans many subjects , including privacy , race , information technology , media NN , media development , and educational NN .	1	2	VBZ	spans	span
this NN plot style is particularly evident around the NN and on side streets such as silver street , NNP street and NNP .	3	4	VBZ	is	are
if the author wants to put it up on his userpage , fine , but delete here .	2	3	VBZ	wants	want
the word `` NN '' indicates that a line has five of these `` feet .	8	9	VBZ	has	have
the nomination is in bad faith , and the article is still young .	1	2	VBZ	is	are
cities are the NN of human diversity ; their policies , structures and institutions can significantly contribute to VBG JJ , VBG , safe and JJ communities .	0	1	VBP	are	is
an expansion of the NNP assistance and NNP america programs , where states already have these NN programs in place , as in vermont , the fcc VBZ letting states determine their own NN requirements .	12	14	VBP	have	has
the next two edits occur at intervals of 12 hours , the third considerably after that .	3	4	VBP	occur	occurs
this image is identical to NNP .	1	2	VBZ	is	are
the potential energy at the top is independent of the route taken .	2	6	VBZ	is	are
project is currently in planning stages .	0	1	VBZ	is	are
similar mainstream examples include `` host '' , as in `` host a party '' , and `` chair '' , as in `` chair the meeting '' .	2	3	VBP	include	includes
the villa de NNP part is in honor of NNP NNP , a hero of the mexican war of independence .	4	5	VBZ	is	are
the NNP controversy reflects some of these issues and their political NN .	2	3	VBZ	reflects	reflect
the office of the mayor of NNP is a directly elected position .	1	7	VBZ	is	are
oil NN NNS take in only JJ NNS , they normally do not VB water .	2	3	VBP	take	takes
highland NNS are distinct both RB and RB from other NNP groups like the NNP , including the NNP , NNP scottish NNP , eastern european roma and welsh NNP groups .	1	2	VBP	are	is
the NNP organs are only the left ones , in the JJ NN .	2	3	VBP	are	is
sometimes a NN supplement is needed when feeding NN hay , if a horse is under stress ( illness , traveling , showing , racing , and so on ) , or not eating well .	13	14	VBZ	is	are
wikipedia guideline is to avoid use of NNS in article titles .	1	2	VBZ	is	are
NNS cover the eastern and the central parts , where NN from the center of the island allows a higher water table and JJR soils than the dense VBZ found on most of the island .	0	1	VBP	cover	covers
NN '' even exists in a `` JJ writing '' version .	0	3	VBZ	exists	exist
after the other judges delivered their NNS , lord NNP concluded , the general law of this land is in favour of the NN of battle , and it is our duty to VB the law as it is , and not as we may wish it to be .	14	18	VBZ	is	are
NNP denied the exchange took place via telephone , though both men agree those questions were asked later in the day before NNP commissioned fraser as prime minister .	11	12	VBP	agree	agrees
they often perform in new york , although the band is currently on a hiatus because hart is residing in los angeles for the time being .	9	10	VBZ	is	are
in extremely high NNS and in rare cases `` JJ '' side effects are possible .	12	13	VBP	are	is
delete while the subject of this article is an important cultural phenomenon and JJ NN that is likely to be well documented .	3	7	VBZ	is	are
some games that feature save points also use a variation of a saved games called a NN save ; like save states , these saves are the complete state of the game and allow the player to resume from an exact point .	24	25	VBP	are	is
through shared artwork and letters of participants , the program encourages students to develop higher reading levels , cultural awareness , and international NNS .	9	10	VBZ	encourages	encourage
the parish of NNP da NNP is surrounded to the north and west by the parish of NNP , and east by the municipality of NNP do NNP ( specifically the parishes of NNP and NNP do mar , VBG the atlantic ocean along its southern border .	31	36	VBP	do	does
some physical spirits also have special abilities or spells that they can use once they are in play .	2	4	VBP	have	has
the themes section needs some attention paid to the organization .	2	3	VBZ	needs	need
my thoughts and prayers are with the victims and families touched by these acts of terror in mumbai .	1	4	VBP	are	is
JJ policy relating to content disputes points out that surveys and votes of this sort are poor ways of VBG editorial conflict .	9	15	VBP	are	is
the governing body is the american NNP rugby union .	2	3	VBZ	is	are
no agents currently use this as the primary means of fire NN .	1	3	VBP	use	uses
the official mascot of the NNP division is NNP NNP .	2	7	VBZ	is	are
in central and northern alberta the arrival of spring brings the prairie NN NN , the three VBD NNS , golden NN , wild rose and other early flowers .	6	9	VBZ	brings	bring
the team colors are NN , blue and silver and their local rivals are the east coast NNP .	12	13	VBP	are	is
the map is right , the text was wrong .	1	2	VBZ	is	are
things take a NN point when fat tony orders him to make a hit , to which dan tries to get homer to stop him .	0	1	VBP	take	takes
a NN floor with a hard surface provides protection from serious injuries rather than minor injuries .	2	7	VBZ	provides	provide
sexual NNS are common across many cultures and historical periods .	1	2	VBP	are	is
its administrative center is the rural locality ( a settlement ) of NNP .	2	3	VBZ	is	are
the article mentions NNP moving to the freeway .	1	2	VBZ	mentions	mention
